ID;Sorting_completed_YN;Sorting_house;Sorting_house_wish;age;occupation;gender;Country_C_G_O;Bravery;Hardwork;Intelligence;Ambition;Daring;Dedication;Knowledge;Cunning;Extraverted;Agreeable;Clever;Manipulative;SD3_Machiavellianism;SD3_Narcissism;SD3_Psychopathy;IPIP_Extraversion;IPIP_Agreeableness;IPIP_Conscientiousness;IPIP_EmStability;IPIP_Intellect;PVQ_01;PVQ_02;PVQ_03;PVQ_04;PVQ_05;PVQ_06;PVQ_07;PVQ_08;PVQ_09;PVQ_10;PVQ_11;PVQ_12;PVQ_13;PVQ_14;PVQ_15;PVQ_16;PVQ_17;PVQ_18;PVQ_19;PVQ_20;PVQ_21;PVQ_22;PVQ_23;PVQ_24;PVQ_25;PVQ_26;PVQ_27;PVQ_28;PVQ_29;PVQ_30;PVQ_31;PVQ_32;PVQ_33;PVQ_34;PVQ_35;PVQ_36;PVQ_37;PVQ_38;PVQ_39;PVQ_40;PVQ_41;PVQ_42;PVQ_43;PVQ_44;PVQ_45;PVQ_46;PVQ_47;PVQ_48;PVQ_49;PVQ_50;PVQ_51;PVQ_52;PVQ_53;PVQ_54;PVQ_55;PVQ_56;PVQ_57
740;Yes;Gryffindor;Gryffindor;14;Pupil;Female;Others;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Ravenclaw;Slytherin;26;18;22;34;35;35;29;36;3;3;5;5;4;3;4;3;5;5;5;2;5;4;3;6;6;2;5;4;2;3;5;5;6;5;5;6;2;5;2;4;3;4;3;6;5;4;5;3;3;4;6;2;3;6;5;5;4;3;2;4;3;3;5;4;3
745;Yes;Ravenclaw;Ravenclaw;14;Student;Female;Others;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;21;18;14;25;50;49;24;49;6;6;6;6;6;5;6;6;6;6;6;4;6;6;5;6;6;5;6;4;6;6;6;6;6;6;6;5;4;6;6;6;6;6;6;6;6;6;6;6;3;6;6;2;6;6;6;5;6;6;6;6;6;6;6;6;6
798;Yes;Gryffindor;Gryffindor;14;Pupil;Female;Croatia;Gryffindor;Slytherin;Ravenclaw;Slytherin;Gryffindor;Slytherin;Ravenclaw;Slytherin;Slytherin;Hufflepuff;Ravenclaw;Slytherin;20;10;19;25;46;27;30;44;6;3;5;3;5;1;6;6;1;3;5;2;6;6;1;6;4;2;6;2;6;3;6;1;6;6;6;4;1;4;1;2;1;6;4;6;6;6;6;3;1;2;6;1;6;6;6;5;1;1;2;6;2;6;6;5;6
837;No;Slytherin;Slytherin;14;Student;Female;Others;Gryffindor;Ravenclaw;Ravenclaw;Gryffindor;Gryffindor;Gryffindor;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Ravenclaw;Slytherin;31;33;37;16;45;31;22;45;5;4;5;5;5;4;5;3;5;3;5;3;4;5;4;5;4;5;5;2;3;4;5;5;5;5;5;4;2;3;3;5;4;5;4;3;4;5;4;4;3;5;4;3;3;3;5;4;5;5;4;4;2;3;5;4;5
839;Yes;Ravenclaw;Slytherin;14;Pupil;Male;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;39;43;34;41;34;38;26;42;6;4;3;1;1;6;1;3;6;2;2;6;6;1;1;6;6;3;6;6;0;1;6;6;4;4;6;4;6;6;1;6;4;6;6;6;2;2;5;1;6;1;4;6;1;3;6;6;6;6;1;2;2;1;3;6;3
853;Yes;Hufflepuff;Hufflepuff;14;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;17;16;20;38;46;28;30;39;3;4;3;4;6;1;3;2;1;4;6;2;4;6;5;5;4;3;5;1;2;2;4;2;6;5;6;6;2;1;5;3;6;6;4;2;6;5;3;3;1;5;5;1;3;5;5;3;1;4;2;6;1;4;6;5;6
907;Yes;Ravenclaw;Ravenclaw;14;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;25;18;10;16;32;32;23;37;5;6;5;4;6;2;3;4;5;3;5;3;4;6;4;5;3;3;4;2;3;3;6;3;5;6;6;2;2;3;4;3;4;6;5;4;5;4;5;5;2;5;5;2;4;3;4;3;4;4;3;6;4;3;4;5;6
987;Yes;Gryffindor;Gryffindor;14;Student;Male;Others;Gryffindor;Hufflepuff;Ravenclaw;Hufflepuff;Gryffindor;Ravenclaw;Ravenclaw;Hufflepuff;Gryffindor;Hufflepuff;Slytherin;Slytherin;30;27;29;28;34;28;17;42;0;0;0;0;0;3;4;4;5;5;5;5;4;6;3;6;5;2;4;4;0;4;5;5;5;5;5;4;4;3;2;4;2;5;6;4;6;6;5;5;4;3;4;3;4;4;4;4;5;4;4;6;4;3;4;6;5
191;Yes;Ravenclaw;Ravenclaw;15;Student;Male;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Slytherin;Slytherin;19;20;18;20;46;38;22;45;4;6;5;5;6;4;2;4;4;3;6;5;4;6;5;5;6;5;5;5;0;4;5;3;5;5;5;4;2;5;5;5;6;5;6;6;6;5;2;6;3;4;5;1;4;4;4;4;3;5;5;5;5;4;5;5;5
491;Yes;Ravenclaw;Ravenclaw;15;Pupil;Female;Croatia;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Hufflepuff;Slytherin;22;16;22;24;40;40;23;37;5;4;5;5;6;2;6;5;4;5;6;1;5;5;2;5;6;3;5;1;4;3;5;3;6;4;6;5;2;4;2;4;4;4;5;6;6;6;6;4;1;4;6;1;5;6;5;4;4;5;3;5;3;6;5;5;4
685;Yes;Slytherin;Slytherin;15;Pupil;Female;Others;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Slytherin;Ravenclaw;Hufflepuff;Hufflepuff;Hufflepuff;Ravenclaw;Hufflepuff;37;26;29;16;36;34;24;32;6;4;5;3;6;1;2;1;5;3;6;5;4;6;5;6;5;4;2;3;2;5;4;2;5;4;5;5;5;5;1;6;1;6;3;4;5;4;6;2;5;4;5;1;2;3;2;4;3;3;5;4;3;3;3;6;5
691;Yes;Hufflepuff;Hufflepuff;15;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;16;15;12;16;46;35;17;40;4;5;3;6;6;2;5;5;4;3;6;1;6;6;6;5;5;3;3;2;5;6;6;4;6;6;6;1;1;4;6;3;2;6;6;5;6;6;5;3;1;6;2;1;5;2;6;3;5;5;6;6;6;6;6;6;6
797;Yes;Slytherin;Slytherin;15;Pupil;Female;Germany;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Slytherin;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;32;21;21;20;35;34;17;32;6;5;6;2;5;5;4;5;5;2;6;5;4;5;2;5;6;2;5;4;5;2;5;3;6;6;5;2;4;4;4;6;1;5;2;5;5;2;6;4;5;3;3;3;5;4;5;5;6;4;2;5;3;3;5;5;3
800;Yes;Hufflepuff;Hufflepuff;15;Pupil;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Gryffindor;Gryffindor;Hufflepuff;Hufflepuff;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Gryffindor;27;15;15;18;32;36;27;30;5;2;5;6;5;4;4;4;4;3;5;2;4;6;5;4;4;5;3;4;2;6;5;5;4;5;5;3;3;2;2;3;2;4;4;5;5;5;4;2;1;5;3;1;4;3;2;4;6;5;6;6;5;3;2;4;3
819;Yes;Hufflepuff;Ravenclaw;15;Student;Female;Others;Gryffindor;Slytherin;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;28;23;13;20;41;39;25;43;5;5;4;4;6;3;2;5;4;4;5;2;3;6;2;6;5;1;3;4;4;2;6;4;5;5;5;1;2;3;3;4;4;5;3;5;6;3;4;3;2;4;3;3;5;5;3;3;5;3;2;5;4;3;5;6;5
841;Yes;Slytherin;Slytherin;15;Student;Female;Others;Gryffindor;Slytherin;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Slytherin;Slytherin;45;21;18;16;27;40;46;42;3;5;5;6;4;4;5;3;3;6;4;2;1;6;5;6;5;5;6;5;3;6;5;3;5;6;6;1;6;5;5;6;6;4;4;6;6;5;5;5;3;5;5;4;4;6;3;4;4;6;6;6;6;6;6;6;4
856;Yes;Hufflepuff;Hufflepuff;15;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;35;21;15;24;34;36;23;32;3;5;3;5;4;3;4;5;2;3;4;2;5;5;3;4;3;3;4;3;3;4;5;2;4;5;5;3;3;3;3;3;3;4;4;4;5;5;6;3;2;3;3;3;3;3;4;2;5;4;4;5;6;3;6;5;4
879;Yes;Gryffindor;Gryffindor;15;Pupil;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;13;16;10;19;40;38;25;45;5;6;5;5;6;2;6;6;3;5;6;2;6;6;6;6;6;4;5;2;5;3;6;5;6;6;6;4;1;3;5;6;3;5;5;4;6;6;4;4;2;6;5;2;5;5;6;4;4;6;3;6;5;6;6;6;5
885;Yes;Gryffindor;Gryffindor;15;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;26;36;31;42;50;48;18;50;6;6;4;6;6;6;6;4;6;6;6;6;4;6;1;6;6;1;6;4;4;6;6;6;6;4;6;6;6;6;1;6;4;6;6;6;6;6;6;5;6;1;6;4;1;6;6;6;6;6;6;6;1;4;6;6;6
919;Yes;Ravenclaw;Ravenclaw;15;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;28;25;16;24;38;38;30;41;4;5;4;5;4;3;3;3;4;4;6;2;4;6;5;5;5;4;4;2;3;3;5;3;4;5;5;2;2;4;5;4;6;5;4;3;4;5;4;4;3;4;4;2;2;3;3;3;3;3;4;5;4;4;4;5;5
924;Yes;Ravenclaw;Ravenclaw;15;Pupil;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Hufflepuff;Gryffindor;Ravenclaw;Slytherin;33;19;21;35;45;41;26;45;5;5;6;4;4;3;5;6;4;5;6;4;4;5;5;5;5;6;5;3;5;4;5;3;6;6;6;6;2;4;4;5;5;6;5;6;5;5;4;5;4;4;6;1;6;6;4;5;5;5;4;5;4;4;4;5;4
185;Yes;Ravenclaw;Ravenclaw;16;Student;Male;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;36;32;32;28;30;30;30;30;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
590;Yes;Ravenclaw;Ravenclaw;16;Student;Male;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;40;32;34;31;45;42;28;37;6;6;3;4;3;6;1;5;6;4;6;6;6;6;3;6;6;6;6;6;0;3;6;6;6;6;6;4;5;6;5;5;1;6;3;4;6;3;6;1;6;4;3;5;2;2;4;5;5;6;3;5;4;3;4;6;4
